#{"t_start": 1713296370.8827949, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
410.0,2377,1990.212958
370.0,2781,1993.182474
475.0,2959,1996.407935
385.0,2807,1999.404403
725.0,3867,2003.575488
895.0,4179,2007.953721
405.0,2851,2010.995916
410.0,3603,2014.990266
605.0,3735,2019.010076
575.0,4695,2024.255039
455.0,3715,2028.222711
380.0,3359,2031.734845
220.0,2473,2034.324687
685.0,4265,2038.870508
585.0,3827,2042.965498
280.0,2807,2046.125416
650.0,4075,2050.372287
570.0,4143,2054.793335
415.0,2835,2057.872516
345.0,2860,2060.871232
415.0,3611,2064.743412
455.0,3779,2068.759762
610.0,3052,2072.025337
150.0,1591,2073.816929
255.0,2511,2076.634372
515.0,3489,2080.348551
285.0,2225,2082.797309
485.0,4203,2087.410348
220.0,2873,2090.555591
310.0,2685,2093.458401
455.0,3515,2108.31159
415.0,3827,2112.430966
415.0,3267,2115.909908
465.0,3927,2120.090148
750.0,4683,2125.013645
520.0,2943,2128.151229
455.0,3035,2131.440798
165.0,2489,2134.128486
725.0,4341,2138.852397
275.0,2433,2141.522449
320.0,2443,2144.12819
475.0,3351,2147.784359
195.0,2215,2150.133156
375.0,2765,2153.056671
300.0,2761,2155.969816
175.0,2225,2158.352078
440.0,4625,2163.274116
475.0,2577,2166.049109
150.0,2129,2168.218467
685.0,4757,2172.922738
400.0,3073,2175.930158
120.0,2185,2178.075329
265.0,3225,2181.205782
235.0,2691,2183.835601
170.0,1883,2185.620046
945.0,4267,2189.913944
90.0,1869,2191.68656
575.0,3529,2195.256359
570.0,2605,2197.759047
300.0,2674,2200.319002
490.0,4229,2204.404476
415.0,2867,2207.184894
530.0,4037,2219.883045
440.0,4083,2223.776289
180.0,1961,2225.694704
310.0,2383,2227.926193
355.0,3835,2231.607113
420.0,3581,2235.005318
410.0,2129,2237.056701
350.0,3057,2240.000378
555.0,3047,2242.930058
405.0,3013,2245.828674
725.0,3699,2249.325512
445.0,4141,2253.354841
515.0,4417,2257.565653
140.0,2005,2259.474323
455.0,3911,2263.244008
235.0,2465,2265.602184
770.0,4319,2269.796852
350.0,3417,2273.086336
325.0,3231,2276.190312
240.0,2521,2278.568762
855.0,3549,2282.000085
115.0,1585,2283.571451
85.0,2305,2285.857738
565.0,2713,2288.433459
330.0,2760,2291.037991
425.0,3009,2293.952454
420.0,3471,2297.232046
80.0,1189,2298.364116
230.0,3107,2301.322763
185.0,2239,2303.541702
140.0,1881,2305.378049
255.0,2475,2307.724411
290.0,2787,2310.381402
190.0,1825,2312.114819
375.0,3111,2315.166827
310.0,2777,2326.47747
255.0,1957,2328.354146
35.0,1587,2329.854015
290.0,2213,2332.061228
365.0,3157,2335.378404
300.0,2613,2338.122041
395.0,2809,2341.092239
495.0,3453,2344.867429
385.0,2693,2347.725159
365.0,2751,2350.614054
325.0,2761,2353.581284
330.0,2811,2356.534482
405.0,2681,2359.293833
310.0,2514,2361.976528
500.0,3707,2365.846393
450.0,3067,2369.011554
305.0,2391,2371.470859
210.0,2055,2373.718768
320.0,2773,2376.723407
575.0,3137,2379.989079
165.0,1471,2381.485626
230.0,2969,2384.637896
595.0,2949,2387.687871
400.0,2534,2390.289317
535.0,2751,2393.422449
305.0,2443,2396.015005
600.0,3937,2400.067995
490.0,2371,2402.608148
275.0,2485,2405.40205
330.0,2719,2408.2527
225.0,1975,2410.298984
360.0,2529,2413.033181
545.0,4547,2417.827973
575.0,3325,2421.2698
285.0,2767,2424.211386
590.0,3564,2428.003387
270.0,2387,2430.518311
940.0,5375,2446.464331
425.0,2525,2449.06423
570.0,4325,2453.704119
165.0,2337,2456.235429
385.0,3377,2459.821598
535.0,4097,2464.125304
545.0,3217,2467.553389
770.0,4169,2471.974516
250.0,2665,2474.74412
355.0,3258,2478.190751
155.0,1987,2480.248809
695.0,4371,2484.858156
385.0,3025,2488.038268
550.0,2629,2490.822357
445.0,3565,2494.685907
595.0,2535,2497.446835
170.0,1905,2499.46886
805.0,3391,2503.028194
275.0,2937,2506.155658
440.0,4015,2510.604865
545.0,3985,2514.880784
355.0,2931,2518.059363
305.0,2595,2520.841956
325.0,3133,2524.191526
500.0,3569,2528.067865
265.0,3433,2531.659408
565.0,3344,2535.19639
455.0,3685,2539.171298
460.0,3505,2542.907405
360.0,2818,2545.859493
455.0,3889,2560.025951
365.0,2883,2563.125805
305.0,2711,2566.014481
505.0,3739,2570.008462
535.0,4373,2574.628314
265.0,2661,2577.550775
545.0,4601,2582.428407
235.0,2621,2585.305441
315.0,2571,2587.97744
635.0,3475,2591.617408
270.0,2730,2594.497943
365.0,3527,2598.238272
285.0,2549,2600.947983
585.0,2407,2603.50674
465.0,4395,2608.06806
295.0,2891,2611.172077
405.0,3231,2614.671141
315.0,3357,2618.321823
440.0,4013,2622.616648
750.0,5553,2628.250816
525.0,2571,2630.74274
490.0,3809,2634.42516
985.0,7364,2641.658432
425.0,3125,2644.826336
610.0,4095,2648.734007
635.0,3619,2652.284419
335.0,2529,2654.682565
470.0,4007,2658.472621
510.0,3633,2661.942087
695.0,4859,2677.864135
185.0,2609,2680.365698
540.0,4463,2684.749408
